sep=,
"CONSULTING MODULE - Work Breakdown Structure",,,,,,
"Total Story Points: 20-28",,,,,,
,,,,,,
"WBS ID","Task Name","Description","Complexity","Points (Min)","Points (Max)","Status"
"5","Consulting Module","","","20","28",""
"5.1","Consulting List Page","Search/List consulting sessions","MEDIUM","8","10",""
"5.1.1","Search Form","Date range, status, channel filters","MEDIUM","3","4",""
"5.1.2","Data Table","Consulting list with pagination","MEDIUM","3","4",""
"5.1.3","Status Badges","Visual status indicators","LOW","2","2",""
"5.2","Consulting Detail Page","View/Edit consulting session","MEDIUM","7","10",""
"5.2.1","Session Info Form","Customer, channel, status fields","MEDIUM","3","4",""
"5.2.2","Customer Link","Link to customer profile","LOW","2","2",""
"5.2.3","Case/SR Creation","Create case/SR from consulting","MEDIUM","2","4",""
"5.3","Consulting Info Panel","Sidebar consulting info","LOW-MEDIUM","5","8",""
"5.3.1","Info Display Component","Customer info panel","LOW","2","3",""
"5.3.2","Real-time Updates","WebSocket consulting updates","MEDIUM","3","5",""
