sep=,
"CUSTOMER MODULE - Work Breakdown Structure",,,,,,
"Total Story Points: 85-110",,,,,,
,,,,,,
"WBS ID","Task Name","Description","Complexity","Points (Min)","Points (Max)","Status"
"1","Customer Module","","","85","110",""
"1.1","Customer List Page","Search/List customers with pagination","MEDIUM","12","15",""
"1.1.1","Search Form","Form with 6+ fields (firstName, lastName, citizenId, etc.)","LOW","3","4",""
"1.1.2","Data Table","Material Table with sorting, pagination","MEDIUM","4","5",""
"1.1.3","Inline Preview","Show Customer Preview on row select","LOW","2","3",""
"1.1.4","Navigation","Navigate to Member/Customer Detail","LOW","2","3",""
"1.2","Customer Detail Page","Create/Edit customer form (20+ fields)","HIGH","40","50",""
"1.2.1","Basic Info Form","Basic info (title, name, citizenId, passport, etc.)","MEDIUM","8","10",""
"1.2.2","Individual/Corporate Toggle","Dynamic fields based on customer type","MEDIUM","5","6",""
"1.2.3","Validation Logic","Complex validation (Thai vs Foreign nationals)","HIGH","8","10",""
"1.2.4","Save Workflow","Multi-step: validate → verify → save","HIGH","10","12",""
"1.2.5","Status State Machine","Customer status transitions (01→02→03→04)","MEDIUM","5","6",""
"1.2.6","Permission Management","Form permission checking (CAN_WRITE)","LOW","4","6",""
"1.3","Customer Address Tab","CRUD addresses with cascading dropdown","HIGH","20","25",""
"1.3.1","Address List","Paginated address list with selection","MEDIUM","4","5",""
"1.3.2","Address Form","Address form with validation","MEDIUM","4","5",""
"1.3.3","Cascading Dropdowns","Country → Province → District → SubDistrict → PostCode","HIGH","8","10",""
"1.3.4","Primary Address Logic","Prevent duplicate primary addresses","MEDIUM","4","5",""
"1.4","Customer Case Tab","Display customer cases","LOW-MEDIUM","5","8",""
"1.4.1","Case List Display","Table with sorting/pagination","LOW","3","4",""
"1.4.2","Navigation to Case","Link to case detail page","LOW","2","4",""
"1.5","Customer SR Tab","Display customer service requests","LOW-MEDIUM","5","8",""
"1.5.1","SR List Display","Table with sorting/pagination","LOW","3","4",""
"1.5.2","Navigation to SR","Link to SR detail page","LOW","2","4",""
"1.6","Contact History Tab","Contact timeline","LOW","3","5",""
"1.6.1","Timeline Component","Consulting timeline visualization","LOW","3","5",""
"1.7","Audit Log Tab","Change history","LOW","3","5",""
"1.7.1","Change Log Display","Paginated change log","LOW","3","5",""
"1.8","Profile Image Upload","Upload with progress tracking","MEDIUM","8","10",""
"1.8.1","File Upload Component","Upload with progress indicator","MEDIUM","5","6",""
"1.8.2","Image Display","Profile image display with fallback","LOW","3","4",""
